age,fare,pclass,survived
29,211.34,1,yes
1,151.55,1,yes
2,151.55,1,no
30,151.55,1,no
25,151.55,1,no
48,26.55,1,yes
63,77.96,1,yes
39,0,1,no
53,51.48,1,yes
71,49.5,1,no
47,227.53,1,no
18,227.53,1,yes
24,69.3,1,yes
26,78.85,1,yes
80,30,1,yes
,25.93,1,no
24,247.52,1,no
50,247.52,1,yes
32,76.29,1,yes
36,75.24,1,no
37,52.55,1,yes
47,52.55,1,yes
26,30,1,yes
42,227.53,1,yes
29,221.78,1,yes
25,26,1,no
25,91.08,1,yes
19,91.08,1,yes
35,135.63,1,yes
28,26.55,1,yes
45,35.5,1,no
40,31,1,yes
30,164.87,1,yes
58,26.55,1,yes
42,26.55,1,no
45,262.38,1,yes
22,55,1,yes
,26.55,1,yes
41,30.5,1,no
48,50.5,1,no
,39.6,1,no
44,27.72,1,yes
59,51.48,1,yes
60,76.29,1,yes
41,134.5,1,yes
45,26.55,1,no
,31,1,no
42,26.29,1,yes
53,27.45,1,yes
36,512.33,1,yes
58,512.33,1,yes
33,5,1,no
28,47.1,1,no
17,47.1,1,no
11,120,1,yes
14,120,1,yes
36,120,1,yes
36,120,1,yes
49,26,1,no
,27.72,1,yes
36,78.85,1,no
76,78.85,1,yes
46,61.18,1,no
47,61.18,1,yes
27,53.1,1,yes
33,53.1,1,yes
36,262.38,1,yes
30,86.5,1,yes
45,29.7,1,yes
,55,1,yes
,0,1,no
27,136.78,1,no
26,136.78,1,yes
22,151.55,1,yes
,52,1,no
47,25.59,1,no
39,83.16,1,yes
37,83.16,1,no
64,83.16,1,yes
55,25.7,1,yes
,26.55,1,no
70,71,1,no
36,71,1,yes
64,26.55,1,yes
39,71.28,1,no
38,71.28,1,yes
51,26.55,1,yes
27,30.5,1,yes
33,151.55,1,yes
31,52,1,no
27,52,1,yes
31,57,1,yes
17,57,1,yes
53,81.86,1,yes
4,81.86,1,yes
54,81.86,1,yes
50,106.43,1,no
27,247.52,1,yes
48,106.43,1,yes
48,39.6,1,yes
49,56.93,1,yes
39,29.7,1,no
23,83.16,1,yes
38,227.53,1,yes
54,78.27,1,yes
36,31.68,1,no
,221.78,1,no
,31.68,1,yes
,110.88,1,yes
36,26.39,1,yes
30,27.75,1,no
24,263,1,yes
28,263,1,yes
23,263,1,yes
19,263,1,no
64,263,1,no
60,263,1,yes
30,56.93,1,yes
,26.55,1,no
50,133.65,1,yes
43,27.72,1,yes
,133.65,1,yes
22,49.5,1,yes
60,79.2,1,yes
48,79.2,1,yes
,0,1,no
37,53.1,1,no
35,53.1,1,yes
47,38.5,1,no
35,211.5,1,yes
22,59.4,1,yes
45,59.4,1,yes
24,79.2,1,no
49,89.1,1,yes
,89.1,1,yes
71,34.65,1,no
53,28.5,1,yes
19,30,1,yes
38,153.46,1,no
58,153.46,1,yes
23,63.36,1,yes
45,63.36,1,yes
46,79.2,1,no
25,55.44,1,yes
25,55.44,1,yes
48,76.73,1,yes
49,76.73,1,yes
,42.4,1,no
45,83.48,1,no
35,83.48,1,yes
40,0,1,no
27,76.73,1,yes
,30,1,yes
24,83.16,1,yes
55,93.5,1,no
52,93.5,1,yes
42,42.5,1,no
,51.86,1,no
55,50,1,no
16,57.98,1,yes
44,57.98,1,yes
51,77.96,1,yes
42,52,1,no
35,52,1,yes
35,26.55,1,yes
38,90,1,yes
,30.7,1,no
35,90,1,yes
38,80,1,yes
50,28.71,1,no
49,0,1,yes
46,26,1,no
50,26,1,no
33,211.5,1,no
58,29.7,1,no
41,51.86,1,no
,51.86,1,yes
42,52.55,1,yes
45,52.55,1,yes
,26.55,1,no
39,211.34,1,yes
49,25.93,1,yes
30,106.43,1,yes
35,512.33,1,yes
,27.72,1,no
42,26.55,1,no
55,27.72,1,yes
16,39.4,1,yes
51,39.4,1,yes
29,30,1,no
21,77.96,1,yes
30,45.5,1,no
58,146.52,1,yes
15,211.34,1,yes
30,26,1,no
16,86.5,1,yes
,29.7,1,yes
19,53.1,1,no
18,53.1,1,yes
24,49.5,1,yes
46,75.24,1,no
54,51.86,1,no
36,26.29,1,yes
28,82.17,1,no
,82.17,1,yes
65,26.55,1,no
44,90,1,no
33,90,1,yes
37,90,1,yes
30,57.75,1,yes
55,30.5,1,no
47,42.4,1,no
37,29.7,1,no
31,113.28,1,yes
23,113.28,1,yes
58,113.28,1,no
19,26.28,1,yes
64,26,1,no
39,108.9,1,yes
,25.74,1,yes
22,61.98,1,yes
65,61.98,1,no
29,27.72,1,no
,0,1,no
46,28.5,1,no
23,93.5,1,no
29,66.6,1,no
22,66.6,1,yes
18,108.9,1,no
17,108.9,1,yes
30,93.5,1,yes
52,30.5,1,yes
47,52,1,no
56,83.16,1,yes
38,0,1,no
,39.6,1,yes
22,135.63,1,no
,227.53,1,no
43,211.34,1,yes
31,50.5,1,no
45,26.55,1,yes
,50,1,no
33,27.72,1,yes
46,79.2,1,no
36,40.13,1,no
33,86.5,1,yes
55,59.4,1,no
54,59.4,1,yes
33,26.55,1,no
13,262.38,1,yes
18,262.38,1,yes
21,262.38,1,yes
61,262.38,1,no
48,262.38,1,yes
,30.5,1,yes
24,69.3,1,yes
,26,1,yes
35,57.75,1,yes
30,31,1,yes
34,26.55,1,yes
40,153.46,1,yes
35,26.29,1,yes
50,55.9,1,no
39,55.9,1,yes
56,35.5,1,yes
28,35.5,1,yes
56,26.55,1,no
56,30.7,1,no
24,60,1,no
,26,1,no
18,60,1,yes
24,82.27,1,yes
23,82.27,1,yes
6,134.5,1,yes
45,134.5,1,yes
40,134.5,1,yes
57,146.52,1,no
,146.52,1,yes
32,30.5,1,yes
62,26.55,1,no
54,55.44,1,yes
43,55.44,1,yes
52,78.27,1,yes
,27.72,1,no
62,80,1,yes
67,221.78,1,no
63,221.78,1,no
61,32.32,1,no
48,25.93,1,yes
18,79.65,1,yes
52,79.65,1,no
39,79.65,1,yes
48,52,1,yes
,52,1,yes
49,110.88,1,no
17,110.88,1,yes
39,110.88,1,yes
,79.2,1,yes
31,28.54,1,yes
40,27.72,1,no
61,33.5,1,no
47,34.02,1,no
35,512.33,1,yes
64,75.25,1,no
60,75.25,1,yes
60,26.55,1,no
54,77.29,1,no
21,77.29,1,no
55,135.63,1,yes
31,164.87,1,yes
57,164.87,1,no
45,164.87,1,yes
50,211.5,1,no
27,211.5,1,no
50,211.5,1,yes
21,26.55,1,yes
51,61.38,1,no
21,61.38,1,yes
,35,1,no
31,134.5,1,yes
,35.5,1,yes
62,26.55,1,no
36,135.63,1,yes
30,24,2,no
28,24,2,yes
30,13,2,no
18,11.5,2,no
25,10.5,2,no
34,26,2,no
36,26,2,yes
57,13,2,no
18,11.5,2,no
23,10.5,2,no
36,13,2,yes
28,10.5,2,no
51,12.53,2,no
32,26,2,yes
19,26,2,yes
28,26,2,no
1,39,2,yes
4,39,2,yes
12,39,2,yes
36,39,2,yes
34,13,2,yes
19,13,2,yes
23,13,2,no
26,13,2,no
42,13,2,no
27,13,2,no
24,13,2,yes
15,39,2,yes
60,39,2,no
40,39,2,yes
20,26,2,yes
25,26,2,no
36,13,2,yes
25,13,2,no
42,13,2,no
42,13,2,yes
1,29,2,yes
26,29,2,yes
22,29,2,yes
35,21,2,yes
,0,2,no
19,13,2,no
44,26,2,no
54,26,2,no
52,13.5,2,no
37,26,2,no
29,26,2,no
25,30,2,yes
45,30,2,yes
29,26,2,no
28,26,2,yes
29,10.5,2,no
28,13,2,no
24,10.5,2,yes
8,26.25,2,yes
31,26.25,2,no
31,26.25,2,yes
22,10.5,2,yes
30,13,2,no
,21,2,no
21,11.5,2,no
,0,2,no
8,36.75,2,yes
18,73.5,2,no
48,36.75,2,yes
28,13,2,yes
32,13,2,no
17,73.5,2,no
29,27.72,2,no
24,27.72,2,yes
25,31.5,2,no
18,73.5,2,no
18,23,2,yes
34,23,2,yes
54,26,2,no
8,32.5,2,yes
42,32.5,2,no
34,32.5,2,yes
27,13.86,2,yes
30,13.86,2,yes
23,13,2,no
21,13,2,no
18,13,2,no
40,26,2,no
29,26,2,yes
18,10.5,2,no
36,13,2,no
,0,2,no
38,13,2,no
35,26,2,no
38,21,2,no
34,21,2,no
34,13,2,yes
16,26,2,no
26,10.5,2,no
47,10.5,2,no
21,11.5,2,no
21,11.5,2,no
24,13.5,2,no
24,13,2,no
34,13,2,no
30,13,2,no
52,13,2,no
30,13,2,no
1,14.5,2,yes
24,14.5,2,yes
44,13,2,no
6,33,2,yes
28,33,2,no
62,10.5,2,yes
30,10.5,2,no
7,26.25,2,yes
43,26.25,2,no
45,26.25,2,yes
24,65,2,yes
24,65,2,yes
49,65,2,no
48,65,2,yes
55,16,2,yes
24,73.5,2,no
32,73.5,2,no
21,73.5,2,no
18,13,2,no
20,23,2,yes
23,11.5,2,no
36,13,2,no
54,23,2,yes
50,13,2,no
44,26,2,no
29,26,2,yes
21,73.5,2,no
42,13,2,yes
63,26,2,no
60,26,2,no
33,12.28,2,no
17,10.5,2,yes
42,27,2,no
24,27,2,yes
47,15,2,no
24,31.5,2,no
22,31.5,2,no
32,10.5,2,no
23,13.79,2,yes
34,26,2,no
24,26,2,yes
22,21,2,no
,12.35,2,yes
35,12.35,2,no
45,13.5,2,yes
57,12.35,2,no
,0,2,no
31,10.5,2,no
26,26,2,no
30,26,2,no
,10.71,2,no
1,41.58,2,yes
3,41.58,2,yes
25,41.58,2,no
22,41.58,2,yes
17,12,2,yes
,33,2,yes
34,10.5,2,yes
36,12.88,2,no
24,10.5,2,no
61,12.35,2,no
50,26,2,no
42,26,2,yes
57,10.5,2,no
,15.05,2,no
1,37,2,yes
31,37,2,no
24,37,2,yes
,15.58,2,no
30,13,2,no
40,16,2,no
32,13.5,2,no
30,13,2,no
46,26,2,no
13,19.5,2,yes
41,19.5,2,yes
19,10.5,2,yes
39,13,2,no
48,13,2,no
70,10.5,2,no
27,13,2,no
54,14,2,no
39,26,2,no
16,10.5,2,no
62,9.69,2,no
33,30.07,2,no
14,30.07,2,yes
2,26,2,yes
3,26,2,yes
37,26,2,no
26,13,2,no
19,36.75,2,no
28,13.5,2,no
20,13.86,2,yes
29,10.5,2,yes
39,13,2,no
22,10.5,2,yes
,13.86,2,yes
23,10.5,2,no
29,13.86,2,yes
28,10.5,2,no
,0,2,no
50,26,2,yes
19,10.5,2,no
,15.05,2,no
41,13,2,no
21,21,2,yes
19,26,2,yes
43,21,2,no
32,13,2,yes
34,13,2,no
30,12.74,2,yes
27,15.03,2,no
2,26,2,yes
8,26,2,yes
33,26,2,yes
36,10.5,2,no
34,21,2,no
30,21,2,yes
28,13,2,yes
23,15.05,2,no
1,18.75,2,yes
3,18.75,2,yes
24,18.75,2,yes
50,10.5,2,yes
19,10.5,2,no
21,10.5,2,yes
26,13,2,no
25,13,2,no
27,26,2,no
25,26,2,yes
18,13,2,yes
20,36.75,2,yes
30,13,2,yes
59,13.5,2,no
30,12.35,2,yes
35,10.5,2,no
40,13,2,yes
25,13,2,no
41,15.05,2,no
25,10.5,2,no
19,13,2,no
14,65,2,no
50,10.5,2,yes
23,13,2,no
28,12.65,2,yes
27,10.5,2,yes
29,21,2,no
27,21,2,no
40,13,2,no
31,21,2,yes
30,21,2,no
23,10.5,2,no
31,21,2,yes
,0,2,no
12,15.75,2,yes
40,15.75,2,yes
33,13,2,yes
27,26,2,no
29,26,2,yes
2,23,2,yes
4,23,2,yes
29,23,2,yes
1,27.75,2,yes
5,27.75,2,yes
36,27.75,2,no
33,27.75,2,yes
66,10.5,2,no
,12.88,2,no
31,13,2,yes
,13,2,yes
26,13.5,2,yes
24,13,2,no
42,7.55,3,no
13,20.25,3,no
16,20.25,3,no
35,20.25,3,yes
16,7.65,3,yes
25,7.65,3,yes
20,7.93,3,yes
18,7.23,3,yes
30,7.25,3,no
26,8.05,3,no
40,9.48,3,no
1,9.35,3,yes
18,9.35,3,yes
26,18.79,3,yes
26,7.89,3,no
20,7.93,3,no
24,7.05,3,no
25,7.05,3,no
35,8.05,3,no
18,8.3,3,no
32,22.53,3,no
19,7.85,3,yes
4,31.28,3,no
6,31.28,3,no
2,31.28,3,no
17,7.93,3,yes
38,7.78,3,no
9,31.28,3,no
11,31.28,3,no
39,31.28,3,no
27,7.8,3,yes
26,7.78,3,no
39,31.28,3,no
20,7.85,3,no
26,7.9,3,no
25,17.8,3,no
18,17.8,3,no
24,7.78,3,no
35,7.05,3,no
5,31.39,3,no
9,31.39,3,no
3,31.39,3,yes
13,31.39,3,no
5,31.39,3,yes
40,31.39,3,no
23,7.8,3,yes
38,31.39,3,yes
45,7.23,3,yes
21,7.23,3,no
23,7.05,3,no
17,14.46,3,no
30,7.23,3,no
23,7.85,3,no
13,7.23,3,yes
20,7.23,3,no
32,15.85,3,no
33,15.85,3,yes
1,19.26,3,yes
1,19.26,3,yes
5,19.26,3,yes
24,19.26,3,yes
18,8.05,3,yes
40,7.23,3,no
26,7.9,3,no
20,7.23,3,yes
18,14.45,3,no
45,14.45,3,no
27,7.88,3,no
22,8.05,3,no
19,8.05,3,no
26,7.78,3,no
22,9.35,3,no
,7.23,3,no
20,4.01,3,no
32,56.5,3,yes
21,7.78,3,no
18,7.75,3,no
26,7.9,3,no
6,15.25,3,no
9,15.25,3,no
,7.23,3,no
,15.25,3,no
,7.75,3,no
40,15.5,3,no
32,15.5,3,no
21,16.1,3,no
22,7.73,3,yes
20,7.85,3,no
29,7.05,3,no
22,7.25,3,no
22,7.8,3,no
35,8.05,3,no
19,7.28,3,no
21,7.82,3,yes
19,6.75,3,no
18,7.88,3,no
21,8.66,3,no
30,8.66,3,no
18,8.66,3,no
38,8.66,3,no
17,8.66,3,no
17,8.66,3,no
21,7.75,3,no
21,7.75,3,no
21,8.05,3,no
,14.46,3,no
,14.46,3,no
28,7.8,3,no
24,7.85,3,no
16,7.75,3,yes
37,7.75,3,no
28,7.25,3,no
24,8.05,3,no
21,7.73,3,no
32,56.5,3,yes
29,8.05,3,no
26,14.45,3,no
18,14.45,3,no
20,7.05,3,no
18,8.05,3,yes
24,7.25,3,no
36,7.5,3,no
24,7.5,3,no
31,7.73,3,no
31,7.75,3,no
22,7.75,3,yes
30,7.63,3,no
71,7.75,3,no
43,8.05,3,no
35,7.9,3,no
27,7.9,3,no
19,7.9,3,no
30,8.05,3,no
9,15.9,3,yes
3,15.9,3,yes
36,15.9,3,yes
59,7.25,3,no
19,8.16,3,no
17,16.1,3,yes
44,16.1,3,no
17,8.66,3,no
23,7.23,3,no
45,8.05,3,yes
22,10.52,3,no
19,10.17,3,no
30,6.95,3,yes
29,7.75,3,yes
0,14.4,3,no
34,14.4,3,no
28,14.4,3,no
27,7.9,3,no
25,7.9,3,no
24,24.15,3,no
22,8.05,3,no
21,24.15,3,no
17,8.05,3,no
,16.1,3,no
,16.1,3,yes
37,17.4,3,yes
36,17.4,3,yes
30,9.5,3,yes
16,9.5,3,no
1,20.58,3,yes
0,20.58,3,yes
26,20.58,3,no
33,20.58,3,yes
25,7.9,3,no
,7.9,3,no
,7.9,3,no
22,7.25,3,no
36,7.25,3,no
19,7.88,3,yes
17,7.9,3,no
42,8.66,3,no
43,7.9,3,no
,7.23,3,no
32,7.75,3,no
19,8.05,3,yes
30,12.48,3,yes
24,7.75,3,no
23,8.05,3,yes
33,7.9,3,no
65,7.75,3,no
24,7.55,3,yes
23,13.9,3,no
22,13.9,3,yes
18,7.78,3,no
16,7.78,3,no
45,6.98,3,no
,7.23,3,no
39,7.23,3,no
17,7.23,3,no
15,7.23,3,no
47,7.25,3,no
5,12.48,3,yes
,7.23,3,no
41,15.1,3,no
41,7.75,3,no
,7.05,3,yes
18,7.8,3,no
,7.75,3,no
,7.75,3,no
,6.95,3,no
26,7.88,3,no
,7.75,3,no
,56.5,3,yes
21,34.38,3,no
9,34.38,3,no
,8.05,3,no
18,34.38,3,no
16,34.38,3,no
48,34.38,3,no
,7.75,3,no
,7.25,3,no
25,7.74,3,no
,14.5,3,no
,7.9,3,no
22,8.05,3,no
16,7.73,3,yes
,7.75,3,yes
9,20.53,3,yes
33,20.53,3,no
41,7.85,3,no
31,20.53,3,yes
38,7.05,3,no
9,46.9,3,no
1,46.9,3,no
11,46.9,3,no
10,46.9,3,no
16,46.9,3,no
14,46.9,3,no
40,46.9,3,no
43,46.9,3,no
51,8.05,3,no
32,8.36,3,no
,8.05,3,no
20,9.85,3,no
37,7.93,3,no
28,7.93,3,no
19,7.78,3,no
24,8.85,3,no
17,7.73,3,no
,19.97,3,no
,19.97,3,no
28,15.85,3,no
24,15.85,3,yes
20,9.5,3,no
24,7.23,3,no
41,14.11,3,no
26,7.85,3,no
21,7.85,3,no
45,14.11,3,yes
,7.55,3,no
25,7.25,3,no
,6.86,3,no
11,18.79,3,no
,7.75,3,yes
27,6.98,3,yes
,56.5,3,yes
18,6.75,3,no
26,7.93,3,yes
23,7.93,3,no
22,8.96,3,yes
28,7.9,3,no
28,7.78,3,no
,7.75,3,no
2,12.29,3,yes
22,12.29,3,yes
43,6.45,3,no
28,22.53,3,no
27,7.93,3,yes
,7.75,3,no
,8.05,3,yes
42,7.65,3,no
,7.89,3,yes
30,7.23,3,no
,7.9,3,no
27,7.93,3,no
25,7.93,3,no
,7.9,3,no
29,7.9,3,yes
21,7.8,3,yes
,7.05,3,no
20,7.85,3,no
48,7.85,3,no
17,7.05,3,no
,7.75,3,yes
,8.11,3,yes
34,6.5,3,no
26,7.78,3,yes
22,7.8,3,no
33,8.65,3,no
31,7.78,3,no
29,7.85,3,no
4,11.13,3,yes
1,11.13,3,yes
49,0,3,no
33,7.78,3,no
19,0,3,no
27,11.13,3,yes
,23.45,3,no
,23.45,3,no
,23.45,3,no
,23.45,3,no
23,7.9,3,no
32,7.85,3,yes
27,7.85,3,no
20,9.83,3,no
21,9.83,3,no
32,7.93,3,yes
17,7.13,3,no
21,8.43,3,no
30,7.9,3,no
21,7.8,3,yes
33,7.85,3,no
22,7.52,3,no
4,13.42,3,yes
39,13.42,3,yes
,7.23,3,no
19,7.23,3,no
,7.75,3,no
,7.25,3,no
,7.75,3,yes
,7.75,3,yes
35,7.83,3,no
44,8.05,3,no
,7.75,3,yes
,14.45,3,no
,14.45,3,no
,7.75,3,no
,7.75,3,no
,7.74,3,no
22,8.66,3,no
26,8.66,3,no
4,22.03,3,yes
29,22.03,3,yes
26,22.03,3,yes
1,12.18,3,no
18,7.85,3,no
36,12.18,3,no
,7.9,3,no
25,7.23,3,yes
,7.23,3,no
37,9.59,3,no
,7.9,3,no
,56.5,3,yes
,56.5,3,no
22,7.25,3,yes
,7.75,3,no
26,56.5,3,yes
29,9.48,3,no
29,7.78,3,no
22,7.78,3,no
22,7.23,3,yes
,25.47,3,no
,25.47,3,no
,25.47,3,no
,25.47,3,no
,25.47,3,no
32,7.93,3,no
35,6.44,3,no
,15.5,3,no
,15.5,3,no
36,0,3,no
39,24.15,3,no
24,9.5,3,no
25,7.78,3,no
45,7.75,3,no
36,15.55,3,no
30,15.55,3,no
20,7.93,3,yes
,7.88,3,no
28,56.5,3,no
,7.55,3,no
30,16.1,3,no
26,16.1,3,no
,7.88,3,no
21,7.25,3,no
27,8.66,3,yes
51,7.05,3,no
23,7.85,3,yes
32,7.58,3,yes
,7.9,3,no
,7.55,3,no
,7.75,3,yes
24,7.14,3,yes
22,7.13,3,no
,7.88,3,no
,7.75,3,no
,8.05,3,no
29,7.93,3,no
,7.23,3,yes
31,7.75,3,no
,7.74,3,yes
,7.23,3,no
35,7.9,3,no
33,7.9,3,no
,7.23,3,yes
,7.9,3,no
,7.75,3,yes
,7.75,3,yes
,23.25,3,yes
,23.25,3,yes
,23.25,3,yes
,7.79,3,yes
,15.5,3,no
,7.88,3,yes
15,8.03,3,yes
35,7.75,3,no
,7.75,3,no
24,16.1,3,no
19,16.1,3,no
,7.75,3,no
,8.05,3,no
,8.05,3,no
56,8.05,3,no
,7.75,3,no
21,7.78,3,yes
,8.05,3,no
24,7.9,3,no
21,7.9,3,no
28,7.9,3,no
,7.9,3,no
,7.88,3,yes
25,7.65,3,no
6,12.48,3,yes
27,12.48,3,yes
,8.05,3,no
,24.15,3,yes
,24.15,3,no
,8.46,3,no
34,8.05,3,no
,7.75,3,no
,7.78,3,yes
,15.25,3,yes
,15.25,3,yes
,15.25,3,yes
,7.23,3,yes
,8.05,3,no
,7.73,3,yes
24,7.75,3,yes
,8.05,3,no
,15.5,3,yes
,15.5,3,yes
,15.5,3,yes
18,7.75,3,no
22,7.9,3,no
15,7.23,3,yes
1,15.74,3,yes
20,15.74,3,yes
19,15.74,3,yes
33,8.05,3,no
,7.9,3,no
,7.23,3,no
,7.75,3,no
,7.9,3,no
12,11.24,3,yes
14,11.24,3,yes
29,7.93,3,no
28,8.05,3,no
18,7.78,3,yes
26,7.85,3,yes
21,7.85,3,no
41,7.13,3,no
39,7.93,3,yes
21,7.8,3,no
29,7.23,3,no
22,7.75,3,yes
61,6.24,3,no
,15.5,3,no
,7.83,3,no
,15.5,3,yes
,7.73,3,no
,7.75,3,no
,7.75,3,no
23,9.23,3,no
,7.75,3,no
,7.75,3,yes
,7.88,3,yes
22,7.78,3,yes
,7.75,3,yes
,7.83,3,yes
9,3.17,3,yes
28,22.53,3,no
42,8.4,3,no
,7.31,3,no
31,7.85,3,no
28,7.85,3,no
32,7.78,3,yes
20,9.23,3,no
23,8.66,3,no
20,8.66,3,no
20,8.66,3,no
16,9.22,3,no
31,8.68,3,yes
,7.63,3,no
2,21.08,3,no
6,21.08,3,no
3,21.08,3,no
8,21.08,3,no
29,21.08,3,no
1,39.69,3,no
7,39.69,3,no
2,39.69,3,no
16,39.69,3,no
14,39.69,3,no
41,39.69,3,no
21,8.66,3,no
19,14.5,3,no
,8.71,3,no
32,7.9,3,no
1,13.78,3,no
3,13.78,3,no
26,13.78,3,no
,7,3,no
,7.78,3,no
,8.05,3,no
21,7.93,3,no
25,7.93,3,no
22,7.25,3,no
25,7.78,3,yes
,22.36,3,yes
,22.36,3,yes
,22.36,3,yes
,8.14,3,no
24,8.05,3,no
28,7.9,3,no
19,7.9,3,no
,7.9,3,no
25,7.78,3,no
18,7.78,3,no
32,8.05,3,yes
,7.9,3,no
17,8.66,3,no
24,8.66,3,no
,7.9,3,no
,8.11,3,no
,7.23,3,no
,7.25,3,no
38,7.9,3,no
21,8.05,3,no
10,29.13,3,no
4,29.13,3,no
7,29.13,3,no
2,29.13,3,no
8,29.13,3,no
39,29.13,3,no
22,39.69,3,no
35,7.13,3,no
,7.72,3,yes
,14.5,3,no
,14.5,3,no
50,14.5,3,no
47,14.5,3,no
,8.05,3,no
,7.78,3,no
2,20.21,3,no
18,20.21,3,no
41,20.21,3,no
,8.05,3,yes
50,8.05,3,no
16,8.05,3,no
,7.75,3,yes
,24.15,3,no
,7.23,3,no
25,7.23,3,no
,7.23,3,no
,7.73,3,no
,7.58,3,no
39,7.25,3,no
,69.55,3,no
15,69.55,3,no
,69.55,3,no
,69.55,3,no
,69.55,3,no
,69.55,3,no
,69.55,3,no
,69.55,3,no
,69.55,3,no
,69.55,3,no
,69.55,3,no
24,9.33,3,no
21,7.65,3,yes
39,7.93,3,no
,21.68,3,no
,21.68,3,no
,21.68,3,no
1,16.7,3,yes
24,16.7,3,yes
4,16.7,3,yes
25,9.5,3,yes
20,8.05,3,no
25,8.05,3,no
,7.73,3,no
,7.9,3,no
,7.75,3,no
29,9.5,3,yes
,15.1,3,no
,7.78,3,yes
,8.05,3,no
,8.05,3,no
22,7.23,3,no
,8.05,3,no
40,7.9,3,no
21,7.93,3,no
18,7.5,3,yes
4,27.9,3,no
10,27.9,3,no
9,27.9,3,no
2,27.9,3,no
40,27.9,3,no
45,27.9,3,no
,7.9,3,no
,8.05,3,no
,8.66,3,no
,7.75,3,no
,7.73,3,yes
19,7.65,3,no
30,8.05,3,no
,8.05,3,no
32,8.05,3,no
,7.9,3,no
33,8.66,3,no
23,7.55,3,yes
21,8.05,3,no
61,,3,no
19,7.9,3,no
22,9.84,3,no
31,7.93,3,yes
27,8.66,3,no
2,10.46,3,no
29,10.46,3,no
16,8.05,3,yes
44,7.93,3,yes
25,7.05,3,no
74,7.78,3,no
14,9.23,3,yes
24,7.8,3,no
25,7.8,3,yes
34,8.05,3,no
0,8.52,3,yes
,6.44,3,no
,6.44,3,no
,7.23,3,no
16,8.52,3,yes
,8.05,3,no
,16.1,3,no
,16.1,3,yes
32,7.93,3,no
,7.75,3,no
,7.9,3,no
31,8.05,3,no
44,8.05,3,no
,7.23,3,no
25,0,3,yes
,7.23,3,no
7,15.25,3,yes
9,15.25,3,yes
29,15.25,3,yes
36,7.9,3,no
18,9.84,3,yes
63,9.59,3,yes
,14.5,3,no
12,14.5,3,no
41,14.5,3,no
10,24.15,3,no
36,24.15,3,no
30,24.15,3,no
,9.5,3,no
33,9.5,3,no
28,9.5,3,no
28,9.5,3,no
47,9,3,no
18,18,3,no
31,18,3,no
16,18,3,no
31,18,3,no
22,7.23,3,yes
20,7.85,3,no
14,7.85,3,no
22,7.9,3,no
22,9,3,no
,8.05,3,no
,7.55,3,no
,8.05,3,no
33,9.5,3,no
38,7.23,3,yes
51,7.75,3,no
18,6.5,3,no
21,6.5,3,no
47,7,3,yes
,8.71,3,no
,7.55,3,no
,8.05,3,no
29,16.1,3,no
21,7.25,3,no
27,8.66,3,no
,7.25,3,no
36,9.5,3,no
27,14.45,3,no
15,14.45,3,yes
46,7.23,3,no
,7.23,3,no
,14.46,3,no
15,14.45,3,no
,14.45,3,no
27,7.23,3,no
27,7.23,3,no
29,7.88,3,no
